"FullName","position","total_matches_played_since_2022","tries_last_5_games","try_assists_last_5_games","games_with_try_last_5_games","tries_per_game_last_5_games","try_assists_per_game_last_5_games"
"Jackson Hastings","Interchange",61,0,1,0,0,0.2
"Taane Milne","Interchange",63,1,2,1,0.2,0.4
"Braden Uele","Interchange",69,1,0,1,0.2,0
"Dale Finucane","Interchange",33,0,0,0,0,0
"Josh Jackson","2nd Row",23,0,0,0,0,0
"David Klemmer","Interchange",84,0,0,0,0,0
"Josh Reynolds","Five-Eighth",10,0,1,0,0,0.2
"Corey Thompson","Winger",16,0,0,0,0,0
"Aiden Tolman","Prop",21,0,0,0,0,0
"Moses Mbye","Centre",39,0,0,0,0,0
"Jake Granville","Interchange",62,0,0,0,0,0
"Ben Hunt","Interchange",88,0,2,0,0,0.4
"Andrew McCullough","Hooker",20,0,0,0,0,0
"Josh McGuire","Prop",14,0,0,0,0,0
"Francis Molo","Interchange",78,0,0,0,0,0
"Kodi Nikorima","Interchange",83,1,7,1,0.2,1.4
"Corey Oates","Interchange",51,0,0,0,0,0
"Joe Ofahengaue","Interchange",75,1,0,1,0.2,0
"Ashley Taylor","Halfback",1,0,1,0,0,1
"Jarrod Wallace","Interchange",40,1,1,1,0.2,0.2
"Kyle Feldt","Winger",67,7,0,4,1.4,0
"Tariq Sims","Interchange",35,0,0,0,0,0
"James Tamou","Prop",22,1,0,1,0.2,0
"Jason Taumalolo","Interchange",74,0,0,0,0,0
"Jarrod Croker","Centre",16,1,0,1,0.2,0
"Brenko Lee","Winger",26,0,1,0,0,0.2
"Edrick Lee","Winger",17,4,1,3,0.8,0.2
"Anthony Milford","Interchange",26,2,1,1,0.4,0.2
"Mark Nicholls","Interchange",84,1,0,1,0.2,0
"Jordan Rapana","Fullback",60,3,0,2,0.6,0
"Paul Vaughan","Interchange",24,0,0,0,0,0
"Jack Wighton","Winger",79,2,2,1,0.4,0.4
"Tom Eisenhuth","Interchange",50,1,0,1,0.2,0
"Josh Mansour","Winger",7,1,0,1,0.2,0
"Matt Moylan","Fullback",46,0,0,0,0,0
"James Segeyaro","Interchange",1,0,0,0,0,0
"Coen Hess","Interchange",68,1,0,1,0.2,0
"Corey Jensen","Interchange",90,0,0,0,0,0
"Viliame Kikau","Interchange",79,1,2,1,0.2,0.4
"Tevita Pangai Junior","Interchange",46,0,0,0,0,0
"Euan Aitken","Centre",72,0,1,0,0,0.2
"Adam Clune","Halfback",22,1,5,1,0.2,1
"Matthew Dufty","Fullback",12,0,4,0,0,0.8
"Addin Fonua-Blake","Interchange",97,1,0,1,0.2,0
"Tom Freebairn","Interchange",5,2,0,1,0.4,0
"Jacob Host","Interchange",47,1,0,1,0.2,0
"Drew Hutchison","Halfback",63,0,1,0,0,0.2
"Luciano Leilua","Interchange",77,0,0,0,0,0
"Delouise Hoeter","Winger",15,2,0,2,0.4,0
"Mitchell Moses","Fullback",66,4,2,2,0.8,0.4
"Waqa Blake","Centre",30,0,0,0,0,0
"Reagan Campbell-Gillard","Interchange",90,0,0,0,0,0
"Bryce Cartwright","Interchange",63,1,2,1,0.2,0.4
"George Jennings","Winger",3,1,0,1,0.33,0
"James Roberts","Interchange",6,0,0,0,0,0
"Chris Smith","Interchange",8,1,0,1,0.2,0
"Dallin Watene-Zelezniak","Winger",76,2,0,1,0.4,0
"Isaah Yeo","Centre",93,0,0,0,0,0
"Lachlan Fitzgibbon","Interchange",31,0,1,0,0,0.2
"Joseph Tapine","Interchange",96,1,1,1,0.2,0.2
"Danny Levi","Interchange",31,1,1,1,0.2,0.2
"Michael Chee-Kam","Interchange",50,0,0,0,0,0
"Peta Hiku","Winger",48,1,2,1,0.2,0.4
"Jesse Bromwich","Prop",66,0,0,0,0,0
"Kenneath Bromwich","Interchange",73,0,0,0,0,0
"Ben Hampton","Fullback",5,0,0,0,0,0
"Tohu Harris","2nd Row",52,0,1,0,0,0.2
"Hymel Hunt","Centre",6,1,0,1,0.2,0
"Felise Kaufusi","Interchange",71,1,0,1,0.2,0
"Richard Kennar","Winger",22,0,0,0,0,0
"Matthew Lodge","Interchange",50,2,0,2,0.4,0
"Kurt Mann","Centre",69,0,0,0,0,0
"Jordan McLean","Interchange",85,0,0,0,0,0
"Kevin Proctor","Interchange",8,0,0,0,0,0
"Young Tonumaipea","Winger",16,0,1,0,0,0.2
"Cody Walker","Five-Eighth",81,0,6,0,0,1.2
"Jack Bird","Interchange",69,0,0,0,0,0
"Jack de Belin","Interchange",87,0,0,0,0,0
"Tyson Frizell","2nd Row",85,0,0,0,0,0
"Mitch Rein","Hooker",2,0,0,0,0,0
"Luke Brooks","Halfback",83,3,2,2,0.6,0.4
"Nathan Brown","Interchange",59,1,0,1,0.2,0
"Ben Murdoch-Masila","Interchange",49,0,0,0,0,0
"David Nofoaluma","Winger",35,1,0,1,0.2,0
