"","FullName","position","tries_last_5_games","try_assists_last_5_games","games_with_try_last_5_games","tries_per_game_last_5_games","try_assists_per_game_last_5_games"
"312","Ben Hampton","Fullback",0,0,0,0,0
"313","Tohu Harris","2nd Row",0,1,0,0,0.2
"314","Hymel Hunt","Centre",1,0,1,0.2,0
"315","Felise Kaufusi","Interchange",1,0,1,0.2,0
"316","Richard Kennar","Winger",0,0,0,0,0
"317","Matthew Lodge","Interchange",2,0,2,0.4,0
"318","Kurt Mann","Centre",0,0,0,0,0
"319","Jordan McLean","Interchange",0,0,0,0,0
"320","Kevin Proctor","Interchange",0,0,0,0,0
"321","Young Tonumaipea","Winger",0,1,0,0,0.2
"322","Cody Walker","Five-Eighth",0,6,0,0,1.2
"323","Jack Bird","Interchange",0,0,0,0,0
"324","Jack de Belin","Interchange",0,0,0,0,0
"325","Tyson Frizell","2nd Row",0,0,0,0,0
"326","Mitch Rein","Hooker",0,0,0,0,0
"327","Luke Brooks","Halfback",3,2,2,0.6,0.4
"328","Nathan Brown","Interchange",1,0,1,0.2,0
"329","Ben Murdoch-Masila","Interchange",0,0,0,0,0
"330","David Nofoaluma","Winger",1,0,1,0.2,0
"331","Ava Seumanufagai","Interchange",0,0,0,0,0
"332","Sauaso Sue","Interchange",0,0,0,0,0
"333","James Tedesco","Winger",2,7,2,0.4,1.4
"334","Aaron Woods","Interchange",0,0,0,0,0
"335","Junior Paulo","Interchange",1,0,1,0.2,0
"336","Shaun Johnson","Halfback",1,6,1,0.2,1.2
"337","Clinton Gutherson","Winger",1,5,1,0.2,1
"338","Matt Ikuvalu","Winger",4,1,3,0.8,0.2
"339","Liam Knight","Interchange",1,0,1,0.2,0
"340","Jake Trbojevic","Interchange",0,0,0,0,0
"341","Rhys Kennedy","Interchange",0,0,0,0,0
"342","Christian Welch","Interchange",0,0,0,0,0
"343","Andrew Fifita","Prop",0,1,0,0,0.2
"344","Wade Graham","Interchange",2,0,2,0.4,0
"345","Jahrome Hughes","Fullback",2,3,2,0.4,0.6
"346","David Mead","Winger",0,0,0,0,0
"347","Fa'amanu Brown","Five-Eighth",0,0,0,0,0
"348","Valentine Holmes","Winger",3,2,2,0.6,0.4
"349","Scott Sorensen","Interchange",0,0,0,0,0
"350","Brian Kelly","Centre",5,2,4,1,0.4
"351","Josh Aloiai","Interchange",0,0,0,0,0
"352","Zach Dockar-Clay","Interchange",1,0,1,0.2,0
"353","Tyrell Fuimaono","Interchange",0,0,0,0,0
"354","Jordan Grant","Interchange",0,0,0,0,0
"355","Tui Kamikamica","Interchange",0,0,0,0,0
"356","Joey Lussick","Interchange",1,0,1,0.2,0
"357","Ryan Matterson","Five-Eighth",0,0,0,0,0
"358","Tepai Moeroa","Interchange",0,0,0,0,0
"359","Raymond Faitala-Mariner","Interchange",0,0,0,0,0
"360","Sam Lisone","Interchange",0,0,0,0,0
"361","Ken Maumalo","Winger",1,0,1,0.2,0
"362","Toafofoa Sipley","Interchange",0,0,0,0,0
"363","Dunamis Lui","Interchange",0,0,0,0,0
"364","Martin Taupau","Prop",0,0,0,0,0
"365","Josh Papalii","2nd Row",0,0,0,0,0
"366","Kurt Capewell","Interchange",0,0,0,0,0
"367","Jamal Fogarty","Five-Eighth",0,5,0,0,1
"368","Siosiua Taukeiaho","Interchange",0,0,0,0,0
"369","Chad Townsend","Five-Eighth",0,0,0,0,0
"370","Tyrone Peachey","Interchange",0,0,0,0,0
"371","Aaron Pene","Interchange",0,0,0,0,0
"372","Jayden Nikorima","Five-Eighth",0,2,0,0,0.4
"373","Brent Naden","Centre",1,0,1,0.2,0
"374","Corey Harawira-Naera","2nd Row",0,1,0,0,0.2
"375","Jacob Gagai","Winger",0,1,0,0,0.2
"376","Josh King","Interchange",0,0,0,0,0
"377","Robert Jennings","Centre",2,0,1,0.4,0
"378","Will Smith","Five-Eighth",0,1,0,0,0.2
"379","Brayden Wiliame","Winger",0,1,0,0,0.25
"380","Matt Frawley","Halfback",2,0,2,0.4,0
"381","Mitchell Barnett","2nd Row",0,0,0,0,0
"382","Luke Garner","Interchange",0,1,0,0,0.2
"383","Jake Turpin","Interchange",0,0,0,0,0
"384","Nelson Asofa-Solomona","Interchange",0,0,0,0,0
"385","Izaac Thompson","Winger",1,1,1,0.2,0.2
"386","Hame Sele","Interchange",0,0,0,0,0
"387","Te Maire Martin","Five-Eighth",0,1,0,0,0.2
"388","Makahesi Makatoa","2nd Row",0,0,0,0,0
"389","Josh Addo-Carr","Winger",8,1,4,1.6,0.2
"390","Siliva Havili","Interchange",0,0,0,0,0
"391","Jazz Tevaga","Hooker",0,0,0,0,0
"392","Cameron Munster","Fullback",0,3,0,0,0.6
"393","Moses Leota","Interchange",0,0,0,0,0
"394","Marion Seve","Interchange",1,0,1,0.2,0
"395","Jonathon Reuben","Winger",0,0,0,0,0
"396","Tom Trbojevic","Winger",3,4,2,0.6,0.8
"397","Charnze Nicoll-Klokstad","Winger",1,2,1,0.2,0.4
"398","Ofahiki Ogden","Interchange",0,0,0,0,0
"399","Paul Momirovski","Centre",0,0,0,0,0
"400","Joe Stimson","Interchange",0,0,0,0,0
"401","Damien Cook","Interchange",0,1,0,0,0.2
"402","Bunty Afoa","Interchange",0,0,0,0,0
"403","Lindsay Collins","Interchange",0,0,0,0,0
"404","Jamayne Isaako","Fullback",1,0,1,0.2,0
"405","Connor Tracey","Five-Eighth",0,4,0,0,0.8
"406","Jayden Brailey","Hooker",0,2,0,0,0.4
"407","Lachlan Croker","Five-Eighth",0,1,0,0,0.2
"408","Christian Crichton","Winger",0,0,0,0,0
"409","Jesse Ramien","Centre",1,1,1,0.2,0.2
"410","Elliott Whitehead","2nd Row",1,2,1,0.2,0.4
"411","Josh Hodgson","Hooker",0,0,0,0,0
"412","John Bateman","Lock",0,0,0,0,0
"413","Ryan Sutton","Interchange",0,0,0,0,0
"414","Jack Williams","Interchange",1,1,1,0.2,0.2
"415","Morgan Boyle","Interchange",0,0,0,0,0
"416","Karl Lawton","Centre",0,0,0,0,0
"417","Chris Lewis","Interchange",0,0,0,0,0
"418","Marcelo Montoya","Winger",1,1,1,0.2,0.2
"419","Nicho Hynes","Fullback",1,3,1,0.2,0.6
"420","Latrell Mitchell","Winger",1,9,1,0.2,1.8
"421","Jeremy Marshall-King","Interchange",2,3,2,0.4,0.6
"422","Marata Niukore","Interchange",1,0,1,0.2,0
"423","Alex Twal","Interchange",0,0,0,0,0
"424","Joseph Manu","Winger",0,1,0,0,0.2
"425","James Fisher-Harris","Interchange",1,0,1,0.2,0
"426","Jack Cogger","Halfback",0,1,0,0,0.2
"427","Poasa Faamausili","Interchange",0,0,0,0,0
"428","Soni Luke","Interchange",0,0,0,0,0
"429","Angus Crichton","Interchange",2,1,2,0.4,0.2
"430","Matthew Eisenhuth","Interchange",0,0,0,0,0
"431","Connor Watson","Interchange",1,0,1,0.2,0
"432","Shaquai Mitchell","Interchange",0,0,0,0,0
"433","Jack Hetherington","Interchange",0,0,0,0,0
"434","Dylan Edwards","Centre",0,1,0,0,0.2
"435","Corey Waddell","Interchange",2,1,1,0.4,0.2
"436","Brandon Smith","Interchange",0,0,0,0,0
"437","Blake Lawrie","Interchange",0,0,0,0,0
"438","Reuben Garrick","Winger",1,0,1,0.2,0
"439","Jacob Liddle","Interchange",1,1,1,0.2,0.2
"440","Tevita Tatola","Interchange",1,0,1,0.2,0
"441","JJ Felise","Interchange",0,0,0,0,0
"442","Luke Thompson","Interchange",0,0,0,0,0
"443","Bayley Sironen","Interchange",1,0,1,0.2,0
"444","Jacob Saifiti","2nd Row",0,0,0,0,0
"445","Jaimin Jolliffe","Interchange",0,0,0,0,0
"446","Jaydn Su'A","2nd Row",2,1,2,0.4,0.2
"447","Jed Cartwright","Interchange",0,0,0,0,0
"448","Josh Kerr","Interchange",0,0,0,0,0
"449","Mitchell Dunn","Interchange",0,0,0,0,0
"450","Zac Woolford","Hooker",0,0,0,0,0
"451","Daniel Saifiti","Interchange",2,0,2,0.4,0
"452","Reimis Smith","Centre",3,1,2,0.6,0.2
"453","Esan Marsters","Interchange",1,0,1,0.2,0
"454","Nat Butcher","Interchange",2,0,2,0.4,0
"455","Billy Tsikrikas","Interchange",0,0,0,0,0
"456","Jamayne Taunoa-Brown","Interchange",0,0,0,0,0
"457","Erin Clark","Interchange",0,0,0,0,0
"458","Jordan Pereira","Winger",2,0,1,0.4,0
